Riding winner loser Conservative Liberal Progressive United-Farmers-of-Alberta Liberal-Progressive Labour Independent Unknown
Mégantic Roberge,Eusèbe BEAUDOIN,Joseph-Théophile 5757 7609 0 0 0 0 0 0
Nanaimo Dickie,Charles-Herbert O'HALLORAN,Cornelius-Hawkins 11827 8596 0 0 0 0 0 0
Neepawa Murphy,Thomas-Gerow Milne,Robert 5638 0 5161 0 0 0 0 0
Nelson Stitt,Bernard-Munroe Bird,Thomas-William 4741 0 4067 0 0 0 0 0
New-Westminster Reid,Thomas McQuarrie,William-Garland 10502 13293 0 0 0 0 0 0
Nicolet Dubois,Lucien GAUDET,Joseph-Alfred 5102 6303 0 0 0 0 0 0
Nipissing Hurtubise,Joseph-Raoul MOREL,Henry 10437 12588 0 0 0 0 0 531
Norfolk--Elgin Taylor,William-Horace Stansell,John-Lawrence 9419 9424 0 0 0 0 0 0
North-Battleford McIntosh,Cameron-Ross MACKENZIE,William 0 7168 2248 0 0 0 6073 0
Northumberland McDade,George-Manning Burchill,George-Percival 8095 5637 0 0 0 0 0 0
Northumberland Fraser,William-Alexander Maybee,Milton-Edgar 7495 8436 0 0 0 0 180 0
Ontario Moore,William-Henry Kaiser,Thomas-Erlin 9646 10116 0 0 0 0 0 0
Ottawa-(City-of) Chevrier,Edgar-Rodolphe-Eugène--and--Ahearn,Thomas-Franklin PLANT,Frank-Henry 23166 25721 0 0 0 0 0 0
Oxford-North Sutherland,Donald-Matheson Allan,Hugh 7217 6180 0 0 0 0 0 0
Oxford-South Cayley,Thomas-Merritt Sutherland,Donald 5656 5711 0 0 0 0 0 0
Parkdale Spence,David GILLIES,Angus 11713 5823 0 0 0 0 0 0
Parry-Sound Arthurs,James HILLIAR,Joseph 5504 4365 0 0 0 0 0 0
Peace-River Kennedy,Donald-MacBeth THOMSON,John-Ewing 0 8390 0 10204 0 0 0 0
Peel Charters,Samuel LOWE,William-James 7112 6847 0 0 0 0 0 0
Perth-North Wright,David-McKenzie SMITH,David 8726 7850 0 0 0 0 0 0
Perth-South Sanderson,Frederick-George MONTEITH,Samuel-James 4346 5063 0 0 0 0 0 0
Peterborough-West Peck,Edward-Armour Duffus,Joseph-James 9663 7902 0 0 0 0 0 0
Pictou Cantley,Thomas MACQUARRIE,Josiah-H. 9672 9174 0 0 0 0 0 0
Pontiac Bélec,Charles COTÉ,J.-Philippe 8884 5891 0 0 0 0 6988 0
Port-Arthur--Thunder-Bay Cowan,Donald-James Carrick,John-James 6371 4415 0 0 0 0 0 0
Portage-la-Prairie Burns,William-Herbert McPherson,Ewen-Alexander 6372 6230 0 0 0 0 0 0
Portneuf Desrochers,Jules FOLEY,J.-Alfred 7262 7813 0 0 0 0 0 0
Prescott Bertrand,Elie-Oscar MOONEY,Edmund-Alexander 2326 6572 0 0 0 0 0 0
Prince MacLean,Alfred-Edgar ARNETT,J.-Frank 6485 8058 0 0 0 0 0 0
Prince-Albert King,William-Lyon-Mackenzie BRADEN,George 8091 9283 0 0 0 0 0 0
Prince-Edward--Lennox Weese,John-Aaron BENSON,William-Henry 6923 5447 0 0 0 0 0 0
Provencher Beaubien,Arthur-Lucien BELANGER,Joseph-Arthur 2274 0 0 0 4562 0 715 0
Qu'Appelle Perley,Ernest-Edward Millar,John 0 7888 0 0 6905 0 0 0
Queen's McLure,Winfield-Chester-Scott--and--Myers,John-Howard Jenkins,Robert-Harold 9310 8767 0 0 0 0 0 0
Queens--Lunenburg Ernst,William-Gordon Kinley,John-James 10504 9378 0 0 0 0 0 0
Québec--Montmorency Dorion,Charles-Napoléon Lavigueur,Henri-Edgar 7212 7165 0 0 0 0 150 0
Quebec-Est Lapointe,Ernest TASCHEREAU,Alleyn 9642 11822 0 0 0 0 0 0
Quebec-Ouest Dupré,Maurice LACROIX,Gérard 10215 9769 0 0 0 0 0 0
Quebec-Sud Power,Charles-Gavan DINAN,Francis-J. 6633 8086 0 0 0 0 0 0
Red-Deer Speakman,Alfred BOTTERILL,William-John 0 4571 0 6256 0 0 0 0
Regina Turnbull,Franklin-White Dunning,Charles-Avery 14446 10746 0 0 0 0 82 0
Renfrew-North Cotnam,Ira-Delbert McKay,Matthew 6125 4897 0 0 0 0 0 0
Renfrew-South Maloney,Martin-James Low,Thomas-Andrew 6404 6144 0 0 0 0 0 0
Restigouche--Madawaska Cormier,Maximilien-Dominic-(Maxime) MCEVOY,Thomas-Henry 10037 9489 0 0 0 0 0 0
Richelieu Cardin,Pierre-Joseph-Arthur L'HEUREUX,Joseph-Louis-Alphonse 3236 5644 0 0 0 0 0 0
Richmond--West-Cape-Breton Macdonald,John-Alexander-(1883-1945) DOYLE,Edward-Charles 4085 3413 0 0 0 0 0 0
Richmond--Wolfe Laflèche,Joseph-François Mitchell,Walter-George 9025 7870 0 0 0 0 0 0
Rimouski Fiset,Eugène Boulay,Herménégilde 4722 6257 0 0 0 0 0 0
Rosetown Loucks,William-John RICHARDSON,William 5310 4237 2879 0 0 0 0 0
Royal Jones,George-Burpee WHITE,Donald-V. 8698 5774 0 0 0 0 0 0
Russell Goulet,Alfred MARION,Alexandre 7964 9551 0 0 0 0 0 0
Saint-John--Albert MacLaren,Murray--and--Bell,Thomas McAvity,Allan-Getchell 16454 8595 0 0 0 0 0 0
Saint-Antoine Bell,Leslie-Gordon Hushion,William-James 7192 5185 0 0 0 0 0 0
Saint-Denis Denis,Joseph-Arthur GAUTHIER,Joseph-Cyriac 14382 28646 0 0 0 0 1732 0
Saint-Henri Mercier,Paul BOYER,Auguste 5917 11520 0 0 0 0 0 0
Saint-Hyacinthe--Rouville Fontaine,Joseph-Théophile-Adélard SYLVESTRE,Victor 7459 8616 0 0 0 0 0 0
Saint-Jacques Rinfret,Louis-Édouard-Fernand LAMARCHE,Joseph-Paul 6208 13299 0 0 0 0 0 0
Saint-Jean--Iberville Rhéaume,Pierre-Auguste-Martial SABOURIN,Yvan 4018 7958 0 0 0 0 0 0
Saint-Laurent--Saint-Georges Cahan,Charles-Hazlitt PITT,Ernest 6666 3653 0 0 0 0 0 0
Saint-Anne Sullivan,John-Alexander Guérin,James-John-Edmund 11384 11017 0 0 0 0 0 0
Saint-Marie Deslauriers,Hermas Lefort,Théodore 6099 16540 0 0 0 0 0 0
Saskatoon MacMillan,Frank-Roland Young,Alexander-MacGillivray 11663 9799 0 0 0 0 0 0
Selkirk Stitt,James-Herbert Bancroft,Leland-Payson 6581 0 0 0 6098 0 0 1709
Shefford Tétreault,J.-Eugène Boivin,Pierre-Ernest 7064 5478 0 0 0 0 0 0
Shelburne--Yarmouth Ralston,James-Layton WALKER,James-Marvin 6800 8173 0 0 0 0 0 0
Sherbrooke Howard,Charles-Benjamin LYNCH,Walter-Harold 8048 8546 0 0 0 0 0 0
Simcoe-East Thompson,Alfred-Burke McLean,George-Alexander 7974 7629 0 0 0 0 0 0
Simcoe-North Simpson,John-Thomas Gouin,Léon-Mercier 7295 0 6459 0 0 0 0 0
Skeena Hanson,Olof Brady,James-Charles 4327 5351 0 0 0 0 0 0
Souris Willis,Errick-French Steedsman,James 6252 0 5780 0 0 0 0 0
