Riding winner loser Unionist Opposition Independent Labour Unknown
Terrebonne Prévost,Jules-Édouard None 0 1 0 0 0
Timiskaming Cochrane,Francis Roebuck,Arthur-Wentworth 7025 4868 0 0 0
Toronto-Centre Bristol,Edmund-James RAMSDEN,Joseph-George 12051 3918 0 0 217
Toronto-East Kemp,Albert-Edward VICK,John-Tristam 15894 4399 0 0 0
Toronto-North Foster,George-Eulas YOUNG,Alfred-James 21130 2893 0 0 0
Toronto-South Sheard,Charles CAREY,David-Arthur 7469 2365 0 0 0
Toronto-West Hocken,Horatio-Clarence KERR,Charles-Wesley 12648 3030 0 2053 0
Trois-Rivières-et-Saint-Maurice Bureau,Jacques None 0 1 0 0 0
Témiscouata Gauvreau,Charles-Arthur LEBEL,Luc 695 6489 0 0 0
Vancouver-Centre Stevens,Henry-Herbert McInnes,William-Wallace-Burns 13722 5543 0 992 0
Vancouver-South Cooper,Richard-Clive MACDONALD,Charles 6890 2462 0 1176 50
Vaudreuil--Soulanges Boyer,Gustave-Benjamin BISSONNETTE,Julien-Firmin 408 4075 0 0 0
Victoria White,William-Henry HOLDEN,James-Bismark 3372 3626 602 0 0
Victoria Hughes,Samuel ISAAC,George-Dunkley 6338 3079 0 0 0
Victoria-City Tolmie,Simon-Fraser HENDERSON,Stuart 11365 2601 0 0 551
Victoria--Carleton Carvell,Frank-Broadstreet None 1 0 0 0 0
Waterloo-North Euler,William-Daum Weichel,William-George 3571 5435 0 220 0
Waterloo-South Scott,Frank-Stewart THOMSON,Adam 5681 2894 0 1396 0
Welland Fraser,Evan-Eugene German,William-Manley 5378 4616 0 1704 0
Wellington-North Clarke,William-Aurelius MCEWING,James 3492 1998 0 0 0
Wellington-South Guthrie,Hugh CUNNINGHAM,Lorne 7358 2139 0 0 0
Wentworth Wilson,Gordon-Crooks DICKENSON,John-Herbert 9070 3387 0 1507 0
Westmorland Copp,Arthur-Bliss Price,Otto-Baird 4982 6645 0 0 0
Westmount--Saint-Henri Leduc,Joseph-Alfred Sévigny,Albert 6975 7987 0 0 0
Weyburn Thompson,Richard-Frederick None 1 0 0 0 0
Winnipeg-Centre Andrews,George-William WARD,Robert-Sinclair 25580 4650 0 0 0
Winnipeg-North Blake,Matthew-Robert RIGG,Richard-Arthur 9656 3472 0 0 0
Winnipeg-South Allan,George-William MACMILLAN,Neil-Thomas 19031 2516 0 0 0
Wright Devlin,Emmanuel-Berchmans PRITCHARD,Andrew 1318 2860 0 0 0
Yale Burrell,Martin None 1 0 0 0 0
Yamaska Gladu,Joseph-Ernest-Oscar CHASSÉ,Aimé 464 3148 0 0 0
Yarmouth-and-Clare Spinney,Edgar-Keith Comeau,Joseph-Willie 4463 3447 0 0 0
York-East Foster,Thomas COCKBURN,Ross-Collier 9736 5758 0 3338 0
York-North Armstrong,John-Alexander-Macdonald King,William-Lyon-Mackenzie 3948 2870 0 0 0
York-South Maclean,William-Findlay MACGREGOR,Alexander 16088 2065 0 1977 118
York-West Wallace,Thomas-George DENTON,Frank 11930 2856 0 0 0
York--Sunbury McLeod,Harry-Fulton BROWN,Nelson-Wentworth 6957 3093 0 0 0
Yukon Thompson,Alfred Congdon,Frederick-Tennyson 959 808 0 0 0
