Riding winner loser Conservative Liberal Independent Labour Socialist Nationalist Unknown
Queen's McLean,Angus-Alexander--and--Nicholson,Donald Warburton,Alexander-Bannerman 4392 4016 0 0 0 0 3915
Quebec-County Pelletier,Louis-Philippe CAOUETTE,Jean-Baptiste 2295 2247 0 0 0 0 0
Quebec-Centre Lachance,Arthur HONE,Jules-Jr. 1529 2122 0 0 0 0 0
Quebec-Est Laurier,Wilfrid None 0 1 0 0 0 0 0
Quebec-Ouest Power,William Price,William 1128 1219 0 0 0 0 0
Red-Deer Clark,Michael MCGILLIVRAY,Alexander-Andrew 3882 6711 0 0 0 0 0
Regina Martin,William-Melville Cowan,Walter-Davy 4081 5811 745 0 0 0 0
Renfrew-North White,Gerald-Verner MUNRO,James-Francis 2573 1865 0 0 0 0 0
Renfrew-South Low,Thomas-Andrew Maloney,Martin-James 2068 2687 0 0 0 0 0
Restigouche Reid,James MONTGOMERY,William-Scott 1170 1512 0 0 0 0 0
Richelieu Cardin,Pierre-Joseph-Arthur VANASSE,Arthur-Pierre 1639 2373 0 0 0 0 0
Richmond Kyte,George-William Gillies,Joseph-Alexander 983 1268 0 0 0 0 0
Richmond--Wolfe Tobin,Edmund-William HAYES,John 3311 3855 0 0 0 0 0
Rimouski Boulay,Herménégilde Ross,Jean-Auguste 4179 3747 0 0 0 0 0
Rouville Lemieux,Rodolphe DUBREUIL,Hormidas 1189 1467 0 0 0 0 0
Russell Murphy,Charles VINCENT,Joseph-Ulric 2836 3812 0 0 0 0 0
Saint-Antoine Ames,Herbert-Brown HERSEY,Milton-Lewis 4677 2668 0 0 0 0 0
Saint-Hyacinthe Gauthier,Louis-Joseph GUIMONT,Ernest 2155 2295 0 0 0 0 0
Saint-Jacques Lapointe,Louis-Audet ASSELIN,Olivar 0 4653 0 0 0 3179 0
Saint-Jeans--Iberville Demers,Joseph LAREAU,Joseph-Edmond 729 2638 0 0 0 0 0
Saint-Laurent Bickerdike,Robert JOHNSTON,George-Franklin 3421 4469 0 0 359 0 0
Saint-Anne Doherty,Charles-Joseph Walsh,Joseph-Charles 3319 2566 0 0 0 0 0
Saint-Marie Martin,Médéric massé,Joseph-Avila 2912 5089 0 100 0 0 0
Saltcoats MacNutt,Thomas NIXON,James 1934 3619 0 0 0 0 0
Saskatoon McCraney,George-Ewan MACLEAN,Donald 3756 5328 656 0 0 0 0
Selkirk Bradbury,George-Henry BREDIN,Albert-Ryerson 3098 3011 234 0 0 0 0
Shefford Boivin,Georges-Henri DAVIDSON,James 2245 2271 0 0 0 0 0
Shelburne-and-Queen's McCurdy,Fleming-Blanchard Fielding,William-Stevens 2678 2529 0 0 0 0 0
Sherbrooke-(Town-of) McCrea,Francis-N. WHITE,Charles-Dickinson 2282 2321 0 0 0 0 0
Simcoe-East Bennett,William-Humphrey Chew,Thomas-Edward-Manley 3315 2849 0 0 0 0 0
Simcoe-North Currie,John-Allister McCarthy,Leighton-Goldie 2648 2476 0 0 0 0 0
Simcoe-South Lennox,Haughton HAMMELL,Thomas 3278 1636 0 0 0 0 0
