Riding winner loser Conservative Liberal Progressive United-Farmers-of-Alberta Labour Independent United-Farmers-of-Ontario Unknown
Prince-Albert Knox,Andrew BRIGHAM,Lorenzo-William 2417 4962 8525 0 0 0 0 0
Prince-Edward Hubbs,John ANDERSON,James-Redner 3839 2357 2730 0 0 0 0 0
Provencher Beaubien,Arthur-Lucien Molloy,John-Patrick 0 3189 0 0 0 1428 0 2177
Qu'Appelle Millar,John Perley,Ernest-Edward 3705 0 8350 0 0 0 0 0
Queen's Sinclair,John-Ewen--and--Mackinnon,Donald-Alexander Myers,John-Howard 6017 7367 1883 0 2537 0 0 0
Quebec-County Lavigueur,Henri-Edgar La-Vergne,Armand-Renaud 0 6843 0 0 0 4547 0 0
Quebec-Est Lapointe,Ernest DRAPEAU,Rodolphe-Alfred 1424 9005 0 0 0 0 0 0
Quebec-Ouest Parent,Georges BERTRAND,Pierre 4715 8741 0 0 0 0 0 0
Quebec-Sud Power,Charles-Gavan DELANY,Thomas-James 3281 6645 0 0 0 669 0 0
Red-Deer Speakman,Alfred DAY,John-Frederick 2644 2207 0 10849 0 0 0 0
Regina Motherwell,William-Richard MACPHERSON,Murdock-Alexander 6008 7786 3547 0 0 0 0 0
Renfrew-North McKay,Matthew COLLINS,Arthur 3015 3828 3371 0 0 0 0 0
Renfrew-South Low,Thomas-Andrew WILSON,Robert-George 2675 4083 2229 0 2432 0 0 0
Restigouche--Madawaska Michaud,Pius MONTGOMERY,William-S. 1723 7593 0 0 0 0 0 0
Richelieu Cardin,Pierre-Joseph-Arthur MORGAN,William-George-Marcellin 2044 4706 0 0 0 0 0 0
Richmond--Wolfe Tobin,Edmund-William LEMIRE,Azarie 0 10340 0 0 0 2986 0 0
Rimouski D'Anjou,Joseph-Émile-Stanislas-Émmanuel LAVOIE,Alfred 0 6363 1247 0 0 0 0 0
Royal Jones,George-Burpee McAlister,Duncan-Hamilton 5551 5434 0 0 0 2663 0 0
Russell Murphy,Charles RATHWELL,Marshall 0 9069 6836 0 0 0 0 0
