FEDUID Riding Lib Con NDP Green BQ Ind
35101 Spadina–Fort-York 33060 10485 12227 3067 0 148
35102 Stormont–Dundas–South-Glengarry 13585 28848 7567 2080 0 0
35103 Sudbury 19484 9772 13766 3183 0 285
35104 Thornhill 18872 29082 3603 1567 0 217
35105 Thunder-Bay–Rainy-River 14336 11984 11708 1783 0 0
35106 Thunder-Bay–Superior-North 17982 10861 8969 3505 0 136
35107 Timmins–James-Bay 9457 9784 14357 1226 0 0
35108 Toronto-Centre 30580 6470 11886 3726 0 197
35109 Toronto–Danforth 27144 6035 18896 3676 0 260
35110 University–Rosedale 28088 9008 11996 4585 0 152
35111 Vaughan–Woodbridge 25654 18215 3845 1286 0 164
35112 Waterloo 30606 15479 9525 6087 0 0
35113 Wellington–Halton-Hills 19455 32801 6346 8657 0 0
35114 Whitby 29713 24307 9547 3649 0 0
35115 Willowdale 21912 16150 4128 1628 0 198
35116 Windsor-Tecumseh 18896 15758 18254 2140 0 186
35117 Windsor-West 18697 9822 20692 1307 0 76
35118 York-Centre 21433 15606 4172 1377 0 0
35119 York–Simcoe 14252 24796 7481 4615 0 1292
35120 York-South–Weston 25638 8369 8427 1593 0 0
35121 Humber-River–Black-Creek 22983 6142 7126 787 0 114
46001 Brandon-Souris 4924 25729 5694 2933 0 275
46002 Charleswood–St.-James–Assiniboia–Headingley 16133 18530 6484 2114 0 161
46003 Churchill–Keewatinook-Aski 3855 4289 10146 975 0 0
46004 Dauphin–Swan-River–Neepawa 5103 24942 5404 2090 0 447
46005 Elmwood–Transcona 5282 16426 19841 1477 0 0
46006 Kildonan–St.-Paul 12187 19690 9187 1738 0 298
46007 Portage–Lisgar 4721 31403 3783 2307 0 856
46008 Provencher 6254 31588 6093 2930 0 0
46009 Saint-Boniface–Saint-Vital 19934 15287 7932 2647 0 297
46010 Selkirk–Interlake–Eastman 5895 30779 8743 2890 0 0
46011 Winnipeg-Centre 10638 7034 12325 597 0 254
46012 Winnipeg-North 14867 6652 14867 887 0 268
46013 Winnipeg-South 19887 18309 6573 2023 0 0
46014 Winnipeg-South-Centre 22106 14565 8601 3042 0 98
47001 Battlefords–Lloydminster 2265 28137 3998 594 0 0
47002 Cypress-Hills–Grasslands 1575 30898 3601 696 0 216
47003 Desnethé–Missinippi–Churchill-River 6899 10816 7504 500 0 0
47004 Carlton-Trail–Eagle-Creek 2015 34814 5384 857 0 355
47005 Moose-Jaw–Lake-Centre–Lanigan 2383 30801 7394 1130 0 0
47006 Prince-Albert 3977 26671 6815 807 0 173
47007 Regina–Lewvan 6625 26837 14454 2035 0 198
47008 Regina–QuAppelle 4315 24223 7517 1227 0 108
47009 Regina–Wascana 14998 22186 5722 1290 0 128
47010 Saskatoon–Grasswood 8206 26013 12310 1263 0 0
47011 Saskatoon–University 6026 24248 13787 1353 0 300
47012 Saskatoon-West 2763 18406 15270 988 0 0
47013 Souris–Moose-Mountain 1658 33932 3096 653 0 0
47014 Yorkton–Melville 2366 28972 4578 1032 0 0
48001 Banff–Airdrie 8216 54580 7960 3230 0 0
48002 Battle-River–Crowfoot 2485 52497 3089 1750 0 0
48003 Bow-River 3104 45691 3010 805 0 445
48004 Calgary-Centre 17199 36360 6290 2723 0 238
48005 Calgary-Confederation 14462 35648 7113 5488 0 401
48006 Calgary-Forest-Lawn 8537 23585 4133 1282 0 385
48007 Calgary-Heritage 7671 39098 5038 1917 0 221
48008 Calgary-Midnapore 7320 49700 6193 1942 0 0
48009 Calgary-Nose-Hill 8606 37950 5107 1478 0 67
48010 Calgary-Rocky-Ridge 12694 47477 5869 1927 0 265
48011 Calgary-Shepard 8461 57793 6639 2273 0 0
48012 Calgary-Signal-Hill 9370 45535 5121 2044 0 505
48013 Calgary-Skyview 14134 26193 7414 781 0 508
48014 Edmonton-Centre 17000 21586 10659 1332 0 201
48015 Edmonton-Griesbach 7805 23551 11499 1205 0 322
48016 Edmonton-Manning 10903 28837 8924 1123 0 257
48017 Edmonton-Mill-Woods 17611 26425 6284 944 0 211
48018 Edmonton-Riverbend 13591 34491 9013 1722 0 0
48019 Edmonton-Strathcona 6362 20634 26189 1076 0 124
48020 Edmonton-West 11555 35181 8365 1383 0 0
48021 Edmonton–Wetaskiwin 10300 61709 9623 1641 0 211
48022 Foothills 3765 52907 3641 2309 0 0
48023 Fort-McMurray–Cold-Lake 4708 39765 2767 857 0 0
48024 Grande-Prairie–Mackenzie 2769 49204 4003 1105 0 0
48025 Lakeland 2492 47551 3634 1069 0 242
48026 Lethbridge 8642 41580 9419 1999 0 674
48027 Medicine-Hat–Cardston–Warner 3467 41498 4530 1165 0 333
48028 Peace-River–Westlock 3805 41159 3805 1350 0 0
48029 Red-Deer–Mountain-View 3724 54111 4836 1997 0 0
48030 Red-Deer–Lacombe 3437 52684 5888 1533 0 0
48031 St.-Albert–Edmonton 12224 38807 9655 1548 0 342
48032 Sherwood-Park–Fort-Saskatchewan 6832 50561 8324 1501 0 278
48033 Sturgeon-River–Parkland 4590 52163 6794 1686 0 421
48034 Yellowhead 2842 45206 3781 1235 0 215
59001 Abbotsford 10460 25028 8164 2655 0 266
59002 Burnaby-North–Seymour 17404 9572 15844 4630 0 266
59003 Burnaby-South 10634 13887 16753 2481 0 243
59004 Cariboo–Prince-George 10265 26738 7927 4683 0 4328
59005 Central-Okanagan–Similkameen–Nicola 15843 30364 10772 4910 0 209
59006 Chilliwack–Hope 10735 26477 8868 5168 0 209
59007 Cloverdale–Langley-City 19470 20772 10389 3502 0 0
59008 Coquitlam–Port-Coquitlam 19614 19275 13073 3889 0 96
59009 Courtenay–Alberni 8513 23516 29407 9569 0 168
59010 Cowichan–Malahat–Langford 10125 16456 23095 12880 0 196
59011 Delta 21969 17638 8654 3310 0 397
59012 Fleetwood–Port-Kells 18149 16347 10293 2324 0 0
59013 Kamloops–Thompson–Cariboo 19543 32057 9824 8696 0 317
59014 Kelowna–Lake-Country 22150 31037 8229 5025 0 151
59015 Kootenay–Columbia 6033 29893 22707 5998 0 336
59016 Langley–Aldergrove 15700 28953 10418 4704 0 489
59017 Mission–Matsqui–Fraser-Canyon 12022 19271 8004 4999 0 74
59018 Nanaimo–Ladysmith 9649 18447 16857 24537 0 235
59019 New-Westminster–Burnaby 12240 11278 23022 4280 0 304
59020 North-Okanagan–Shuswap 16626 35753 11198 7697 0 0
59021 North-Vancouver 26402 16775 10116 7676 0 0
59022 Pitt-Meadows–Maple-Ridge 15957 19501 12802 4259 0 462
59023 Port-Moody–Coquitlam 15409 16588 16255 3812 0 56
59024 Prince-George–Peace-River–Northern-Rockies 6304 38157 5013 3395 0 193
59025 Richmond-Centre 10824 18791 5482 2318 0 0
59026 Esquimalt–Saanich–Sooke 12342 13054 23516 18135 0 284
59027 Saanich–Gulf-Islands 11116 13507 8446 32326 0 0
59028 Skeena–Bulkley-Valley 4704 13637 16670 3193 0 1343
59029 South-Okanagan–West-Kootenay 11481 23508 24304 5520 0 360
59030 South-Surrey–White-Rock 21319 24044 6558 4361 0 0
59031 Steveston–Richmond-East 14397 17193 6167 2852 0 475
59032 Surrey-Centre 15266 10413 11166 2505 0 376
59033 Surrey–Newton 18328 8511 11854 1296 0 0
59034 Vancouver-Centre 22317 10244 12582 6577 0 365
59035 Vancouver-East 9804 6601 28473 7811 0 622
59036 Vancouver-Granville 13637 11326 6730 2554 0 16537
59037 North-Island–Powell-River 8151 20131 23481 8899 0 350
59038 Vancouver-Kingsway 10012 8698 21150 2592 0 288
59039 Vancouver-Quadra 21398 13814 7461 6054 0 160
59040 Vancouver-South 17442 14222 7841 2375 0 0
59041 Victoria 15686 8833 23290 20846 0 217
59042 West-Vancouver–Sunshine-Coast–Sea-to-Sky-Country 22135 17106 8796 14143 0 206
60001 Yukon 6849 6777 4475 2109 0 0
61001 Northwest-Territories 6638 4279 3619 1757 0 0
62001 Nunavut 2798 2327 3717 189 0 0
