FEDUID Riding Liberal Conservative NDP Green Bloc-Quebecois Independent
35116 Windsor-Tecumseh 18134 14605 17465 682 0 0
35117 Windsor-West 13524 9415 21541 0 0 0
35118 York-Centre 17430 13949 3753 0 0 0
35119 York-Simcoe 14469 24900 6800 0 0 0
35120 York-South-Weston 21644 7783 6517 872 0 0
35121 Humber-River-Black-Creek 19533 5599 5279 388 0 0
46001 Brandon-Souris 4608 22733 7838 0 0 0
46002 Charleswood-St-James-Assiniboia-Headingley 17651 18111 6974 947 0 0
46003 Churchill-Keewatinook-Aski 4514 4330 7632 552 0 0
46004 Dauphin-Swan-River-Neepawa 4892 22718 5678 835 0 0
46005 Elmwood-Transcona 6169 11768 20791 676 0 0
46006 Kildonan-St-Paul 12934 18375 10313 0 0 0
46007 Portage-Lisgar 4967 23819 6068 0 0 0
46008 Provencher 8471 24294 6270 1273 0 0
46009 Saint-Boniface-Saint-Vital 19908 12749 9767 676 0 294
46010 Selkirk-Interlake-Eastman 6567 28308 9604 1328 0 0
46011 Winnipeg-Centre 8446 3818 14962 708 0 0
46012 Winnipeg-North 16442 4126 8998 418 0 0
46013 Winnipeg-South 22423 15967 6632 681 0 0
46014 Winnipeg-South-Centre 22214 13566 10064 1341 0 0
47001 Battlefords-Lloydminster 1748 21336 3718 237 0 0
47002 Cypress-Hills-Grasslands 1492 24518 3604 284 0 193
47003 Desnethé-Missinippi-Churchill-River 5533 10036 3548 215 0 240
47004 Carlton-Trail-Eagle-Creek 2066 28192 5608 379 0 0
47005 Moose-Jaw-Lake-Centre-Lanigan 2526 24869 7975 438 0 0
47006 Prince-Albert 3653 22340 5214 364 0 0
47007 Regina-Lewvan 6310 21375 15763 560 0 0
47008 Regina-QuAppelle 3344 20400 6879 668 0 0
47009 Regina-Wascana 10390 19261 6975 622 0 0
47010 Saskatoon-Grasswood 6460 22760 13720 556 0 0
47011 Saskatoon-University 4608 20389 15042 405 0 0
47012 Saskatoon-West 2778 15379 13328 357 0 0
47013 Souris-Moose-Mountain 1636 30049 3107 0 0 0
47014 Yorkton-Melville 2187 23794 4239 614 0 0
48001 Banff-Airdrie 9572 43677 12482 1405 0 2569
48002 Battle-River-Crowfoot 2515 41819 5761 554 0 0
48003 Bow-River 3869 35676 4726 0 0 0
48004 Calgary-Centre 17593 30375 9694 971 0 0
48005 Calgary-Confederation 17560 28367 10561 2295 0 0
48006 Calgary-Forest-Lawn 9608 15434 6254 699 0 0
48007 Calgary-Heritage 8960 30870 9320 766 0 0
48008 Calgary-Midnapore 7947 39147 11826 868 0 0
48009 Calgary-Nose-Hill 10311 28001 8500 636 0 0
48010 Calgary-Rocky-Ridge 14693 36034 10748 1052 0 0
48011 Calgary-Shepard 10303 44411 12103 1300 0 228
48012 Calgary-Signal-Hill 11106 35217 8863 1094 0 0
48013 Calgary-Skyview 20092 17111 7690 432 0 184
48014 Edmonton-Centre 16560 15945 14171 0 0 0
48015 Edmonton-Griesbach 5979 15957 17457 538 0 0
48016 Edmonton-Manning 10468 20219 14999 0 0 0
48017 Edmonton-Mill-Woods 16499 18392 10553 0 0 0
48018 Edmonton-Riverbend 14169 25702 14154 761 0 0
48019 Edmonton-Strathcona 3948 13310 31690 634 0 0
48020 Edmonton-West 13016 25278 14190 0 0 0
48021 Edmonton-Wetaskiwin 12229 48340 18259 0 0 0
48022 Foothills 4441 44456 7117 802 0 0
48023 Fort-McMurray-Cold-Lake 3060 29242 4377 423 0 0
48024 Grande-Prairie-Mackenzie 2397 36361 6462 0 0 0
48025 Lakeland 2610 36557 5519 464 0 0
48026 Lethbridge 8928 32817 11386 0 0 1179
48027 Medicine-Hat-Cardston-Warner 3515 31648 6816 725 0 0
48028 Peace-River-Westlock 2431 29486 6019 364 0 0
48029 Red-Deer-Mountain-View 4084 40680 8826 0 0 298
48030 Red-Deer-Lacombe 3704 39805 8806 0 0 573
48031 St-Albert-Edmonton 11188 29652 17816 0 0 0
48032 Sherwood-Park-Fort-Saskatchewan 8730 41092 14740 700 0 283
48033 Sturgeon-River-Parkland 4579 40957 12532 0 0 0
48034 Yellowhead 2829 33603 5977 0 0 0
59001 Abbotsford 10907 21597 7729 1517 0 0
59002 Burnaby-North-Seymour 19445 12535 14318 1516 0 0
59003 Burnaby-South 12361 9104 16382 1175 0 296
59004 Cariboo-Prince-George 8397 25771 10323 1844 0 0
59005 Central-Okanagan-Similkameen-Nicola 13291 30563 13813 1755 0 0
59006 Chilliwack-Hope 8851 23987 13927 1391 0 0
59007 Cloverdale-Langley-City 20877 19223 10587 0 0 0
59008 Coquitlam-Port-Coquitlam 21454 16907 14982 0 0 0
59009 Courtenay-Alberni 9276 22181 30612 3590 0 0
